"ST","NAICS","Total_RCPTOT","Total_ESTAB","Year"
42,"23822",347694,5635,2010
42,"23829",33456,594,2010
42,"2383",1089320,26521,2010
42,"2389",1072800,21694,2010
42,"484",1429764,14702,2010
42,"4841",1312165,13262,2010
42,"48411",423154,5176,2010
42,"4842",112855,1390,2010
42,"4853",153595,4729,2010
17,"23",4194921,92913,2011
17,"236",1720699,30570,2011
17,"2361",1543695,27638,2011
17,"237",94884,1154,2011
17,"2372",43160,306,2011
17,"23721",43160,306,2011
17,"2373",6989,141,2011
17,"23731",6989,141,2011
17,"2379",24883,356,2011
17,"23799",24883,356,2011
17,"238",2367997,61029,2011
17,"2381",359530,8600,2011
17,"2382",464828,11001,2011
17,"23821",185063,5000,2011
17,"23822",240732,5131,2011
17,"23829",26136,534,2011
17,"2383",813239,24662,2011
17,"2389",724628,16609,2011
17,"484",2574283,31172,2011
17,"4841",2468305,29529,2011
17,"48411",619317,8680,2011
17,"4842",97936,1520,2011
17,"4853",477131,15552,2011
17,"2371",2920,87,2011
30,"23",591056,12148,2011
30,"236",250402,3974,2011
30,"2361",221238,3559,2011
30,"237",24092,312,2011
30,"2372",10175,59,2011
30,"23721",10175,59,2011
30,"2379",5399,103,2011
30,"23799",5399,103,2011
30,"238",313502,7814,2011
30,"2381",50311,1181,2011
30,"2382",40076,816,2011
30,"23821",12376,308,2011
30,"23822",19041,335,2011
30,"23829",2025,41,2011
30,"2383",96749,2812,2011
30,"2389",119430,2835,2011
30,"484",212197,1842,2011
30,"4841",189053,1622,2011
30,"48411",40207,506,2011
30,"4842",14338,132,2011
30,"2371",1356,24,2011
30,"2373",1081,23,2011
30,"23731",1081,23,2011
30,"4853",0,0,2011
39,"23",4269078,90763,2011
39,"236",1300502,21448,2011
39,"2361",1112440,18460,2011
39,"237",115882,1444,2011
39,"2371",8852,148,2011
39,"2379",22580,399,2011
39,"23799",22580,399,2011
39,"238",2847850,67799,2011
39,"2381",591740,12718,2011
39,"2382",430193,9800,2011
39,"23821",144205,4163,2011
39,"23822",247236,4797,2011
39,"23829",30894,596,2011
39,"2383",921469,25798,2011
39,"2389",903699,19459,2011
39,"484",1904084,20095,2011
39,"4841",1772507,18184,2011
39,"48411",470383,6043,2011
39,"4842",122037,1763,2011
39,"4853",57434,2615,2011
39,"2372",57655,408,2011
39,"23721",57655,408,2011
39,"2373",5195,119,2011
39,"23731",5195,119,2011
42,"23",5164084,93027,2011
42,"236",1622337,22345,2011
42,"2361",1433818,19782,2011
